501;1266;Duillier;VD
503;1267;Vich-Coinsins;VD
504;1268;Begnins;VD
506;1281;Russin;GE
507;1283;Dardagny;GE
508;1283;La Plaine;GE
509;1284;Chancy;GE
510;1285;Athenaz (Avusy);GE
511;1286;Soral;GE
512;1287;Laconnex;GE
513;1288;Aire-la-Ville;GE
515;1290;Versoix;GE
516;1291;Commugny;VD
517;1292;Chambésy;GE
518;1293;Bellevue;GE
519;1294;Genthod;GE
521;1295;Mies-Tannay;VD
522;1296;Coppet;VD
523;1297;Founex;VD
524;1298;Céligny;GE
525;1299;Crans-près-Céligny;VD
526;1302;Vufflens-la-Ville;VD
528;1304;Cossonay-Ville;VD
529;1304;Dizy;VD
530;1307;Lussery-Villars;VD
531;1305;Penthalaz;VD
532;1315;La Sarraz;VD
533;1317;Orny;VD
534;1316;Chevilly;VD
535;1337;Vallorbe;VD
538;1338;Ballaigues;VD
540;1341;Orient;VD
541;1346;Les Bioux;VD
542;1344;L'Abbaye;VD
543;1342;Le Pont;VD
544;1343;Les Charbonnières;VD
545;1345;Le Lieu;VD
546;1347;Le Sentier;VD
550;1348;Le Brassus;VD
553;1306;Daillens;VD
554;1303;Penthaz;VD
555;1308;La Chaux-Cossonay;VD
556;1148;Cuarnens;VD
557;1313;Ferreyres;VD
558;1148;Moiry VD;VD
559;1321;Arnex-sur-Orbe;VD
560;1318;Pompaples;VD
561;1312;Eclépens;VD
562;1329;Bretonnières;VD
563;1322;Croy;VD
564;1323;Romainmôtier;VD
565;1324;Premier;VD
566;1325;Vaulion;VD
567;1326;Juriens;VD
568;1148;La Praz;VD
569;1148;Mont-la-Ville;VD
571;1350;Orbe;VD
574;1352;Agiez;VD
575;1353;Bofflens;VD
576;1354;Montcherand;VD
577;1355;L'Abergement;VD
578;1356;Les Clées;VD
579;1357;Lignerolle;VD
580;1358;Valeyres-Rances;VD
581;1439;Rances;VD
583;1373;Chavornay;VD
587;1372;Bavois;VD
588;1374;Corcelles-Chavorn;VD
589;1375;Penthéréaz;VD
590;1376;Goumoens-la-Ville;VD
592;1400;Yverdon-les-Bains;VD
593;1400;Yverdon 1;VD
594;1400;Yverdon 2;VD
595;1401;Yverdon-les-Bains;VD
607;1417;Essertines-Yverdon;VD
608;1416;Pailly;VD
609;1418;Vuarrens;VD
610;1420;Fiez;VD
611;1421;Fontaines-Grandson;VD
612;1423;Villars-Burquin;VD
613;1453;Mauborget;VD
614;1429;Giez;VD
615;1430;Orges;VD
616;1431;Vugelles-La Mothe;VD
617;1405;Pomy;VD
618;1406;Cronay;VD
619;1407;Donneloye;VD
620;1408;Prahins;VD
621;1409;Chanéaz;VD
622;1412;Valeyres-Ursins;VD
623;1413;Orzens;VD
624;1046;Rueyres;VD
625;1404;Cuarny;VD
626;1427;Bonvillars;VD
627;1424;Champagne;VD
629;1431;Novalles;VD
630;1423;Fontanezier;VD
632;1415;Molondin;VD
633;1422;Grandson;VD
634;1422;Grandson 1;VD
635;1422;Grandson 2;VD
636;1425;Onnens VD;VD
637;1426;Concise;VD
638;1426;Corcelles-Concise;VD
643;1432;Belmont-Yverdon;VD
644;1433;Suchy;VD
645;1434;Ependes VD;VD
646;1435;Essert-Pittet;VD
648;1436;Treycovagnes;VD
649;1437;Suscévaz;VD
650;1438;Mathod;VD
654;1441;Valeyres-Montagny;VD
655;1442;Montagny-Yverdon;VD
656;1443;Champvent;VD
658;1445;Vuiteboeuf;VD
659;1446;Baulmes;VD
660;1450;Ste-Croix;VD
663;1450;La Sagne VD;VD
664;1454;L'Auberson;VD
665;1452;Les Rasses;VD
666;1453;Bullet;VD
667;1450;Le Château-Croix;VD
669;1462;Yvonand;VD
672;1463;Rovray;VD
673;1464;Chavannes-le-Chêne;VD
674;1464;Chêne-Pâquier;VD
675;1468;Cheyres;FR
680;1470;Estavayer-le-Lac;FR
681;1473;Font;FR
682;1474;Châbles FR;FR
691;1483;Montet (Broye);FR
692;1482;Cugy FR;FR
693;1541;Bussy FR;FR
694;1484;Aumont;FR
695;1485;Nuvilly;FR
696;1486;Vuissens;FR
697;1537;Champtauroz;VD
698;1538;Treytorrens-Payern;VD
699;1489;Murist;FR
700;1510;Moudon;VD
705;1512;Chavannes-s-Moudon;VD
706;1513;Hermenches;VD
707;1514;Bussy-sur-Moudon;VD
708;1522;Oulens-sur-Lucens;VD
709;1515;Villars-le-Comte;VD
710;1515;Neyruz-sur-Moudon;VD
711;1410;Denezy;VD
712;1522;Lucens;VD
713;1521;Curtilles;VD
715;1523;Granges-Marnand;VD
716;1527;Villeneuve FR;FR
717;1528;Surpierre;FR
718;1529;Cheiry;FR
720;1530;Payerne;VD
726;1532;Fétigny;FR
727;1533;Ménières;FR
728;1534;Sassel;VD
729;1536;Combremont-Petit;VD
730;1526;Forel-sur-Lucens;VD
731;1526;Cremin;VD
732;1542;Rueyres-les-Prés;FR
733;1543;Grandcour;VD
734;1544;Gletterens;FR
735;1545;Chevroux;VD
736;1551;Vers-chez-Perrin;VD
737;1552;Trey;VD
738;1553;Châtonnaye;FR
739;1554;Sédeilles;VD
740;1555;Villarzel;VD
